workload,tiering,mem_policy,ldram_size,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,pgmigrate_fail,numa_pages_migrated,thp_migration_success,thp_migration_success_2,thp_migration_success_3,thp_migration_success_4,thp_migration_success_5,thp_migration_success_6,thp_migration_success_7,thp_migration_success_8,thp_migration_success_9,thp_fault_alloc,thp_fault_alloc_2,thp_fault_alloc_3,thp_fault_alloc_4,thp_fault_alloc_5,thp_fault_alloc_6,thp_fault_alloc_7,thp_fault_alloc_8,thp_fault_alloc_9,thp_migration_split,thp_migration_split_2,thp_migration_split_3,thp_migration_split_4,thp_migration_split_5,thp_migration_split_6,thp_migration_split_7,thp_migration_split_8,thp_migration_split_9,thp_migration_fail,thp_migration_fail_2,thp_migration_fail_3,thp_migration_fail_4,thp_migration_fail_5,thp_migration_fail_6,thp_migration_fail_7,thp_migration_fail_8,thp_migration_fail_9,numa_local,numa_other
bc-urand,tpp,cpu0.weightedinterleave0_2,80G,299.05,33.44,16.3,2490384,7766386,0,7771117,2490455,0,2490455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8100224,5446748
bc-urand,nobalance,cpu0.weightedinterleave0_2,80G,335.87,29.77,20.0,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,5649481,5446792
bc-urand,tpp_thp,cpu0.weightedinterleave0_2,80G,230.45,43.39,15.6,2555164,7927724,15479,18483,2555164,0,2555164,4989,0,0,0,0,0,0,0,0,12540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2322180,2243965
bc-urand,nobalance_thp,cpu0.weightedinterleave0_2,80G,289.2,34.58,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2337379,2243980
bc-urand,tpp_thp_512K,cpu0.weightedinterleave0_2,80G,266.79,37.48,-2.2,2556080,7930668,0,63345,2556080,0,2556080,0,0,0,0,0,0,19968,0,0,0,0,0,0,0,0,50172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2368765,2261966
bc-urand,nobalance_thp_512K,cpu0.weightedinterleave0_2,80G,328.52,30.44,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3031848,2262080
bc-urand,tpp_thp_64K,cpu0.weightedinterleave0_2,80G,274.21,36.47,15.4,2555972,7995742,0,502989,2555972,0,2555972,0,0,0,159740,0,0,0,0,0,0,0,0,401829,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2668034,2436373
bc-urand,nobalance_thp_64K,cpu0.weightedinterleave0_2,80G,329.12,30.38,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2533100,2436399
bc-web,tpp,cpu0.weightedinterleave0_2,80G,272.54,36.69,5.7,990330,3203961,0,3213676,990431,0,990431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10424939,9252162
bc-web,nobalance,cpu0.weightedinterleave0_2,80G,311.55,32.1,16.3,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,9346942,9252340
