workload,tiering,mem_policy,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,numa_pages_migrated,thp_migration_success,thp_fault_alloc,numa_local,numa_other
pr-urand,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,175.7,56.92,18.0,2688873,2721816,5312,9218,2688882,2688882,5248,11255,2297091,2240483
pr-web,nobalance,cpu0.weightedinterleave0_2,209.04,47.84,15.5,0,0,0,0,0,0,0,0,4876229,4815140
pr-web,nobalance_thp,cpu0.weightedinterleave0_2,198.6,50.35,15.5,0,0,0,0,0,0,0,11010,2060996,2001794
pr-web,nobalance_thp_64K,cpu0.weightedinterleave0_2,197.74,50.57,15.5,0,0,0,3,0,0,0,11010,2051775,1996398
pr-web,autonuma_tiering,cpu0.weightedinterleave0_2,208.53,47.95,15.5,302466,1247406,0,302632,302477,302477,0,0,5182668,4815146
pr-web,autonuma_tiering_thp,cpu0.weightedinterleave0_2,197.02,50.76,15.5,271939,1214275,2368,2636,272001,272001,528,11010,2065547,2001760
pr-web,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,196.28,50.95,-0.0,247336,1189602,2320,1119,247336,247336,480,11010,2054854,1996377
NPB-BT.D,nobalance,cpu0.weightedinterleave0_2,766.44,13676.68,-0.1,0,0,0,0,0,0,0,0,9523817,9324258
NPB-BT.D,nobalance_thp,cpu0.weightedinterleave0_2,733.34,14343.13,71.0,0,0,0,0,0,0,0,36374,233803,39796
NPB-BT.D,nobalance_thp_64K,cpu0.weightedinterleave0_2,727.64,14466.43,71.0,0,0,0,12,7,7,0,36374,218911,37639
NPB-BT.D,autonuma_tiering,cpu0.weightedinterleave0_2,649.26,16491.7,-0.1,9305683,9305694,0,9305684,9305683,9305683,0,0,18803121,9324236
NPB-BT.D,autonuma_tiering_thp,cpu0.weightedinterleave0_2,571.57,18723.32,71.0,9314758,9314778,18187,21212,9561103,9314765,18187,36386,265750,39774
NPB-BT.D,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,576.25,18711.58,71.0,9314820,9314822,18187,19141,9314820,9314820,18187,36374,204773,37629
NPB-CG.D,nobalance,cpu0.weightedinterleave0_2,291.25,1902.62,16.3,0,0,0,0,0,0,0,0,2223930,2143039
NPB-CG.D,nobalance_thp,cpu0.weightedinterleave0_2,277.06,1995.0,16.3,0,0,0,0,0,0,0,8344,91016,11498
NPB-CG.D,nobalance_thp_64K,cpu0.weightedinterleave0_2,277.89,1988.04,16.3,0,0,0,107,12,12,0,8344,81263,8798
NPB-CG.D,autonuma_tiering,cpu0.weightedinterleave0_2,238.13,2541.09,-0.0,2134659,2138561,0,2134724,2134659,2134659,0,0,4349229,2143035
NPB-CG.D,autonuma_tiering_thp,cpu0.weightedinterleave0_2,221.39,2749.54,16.3,2137812,2138350,4171,6975,2137820,2137820,4170,8344,85919,11507
NPB-CG.D,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,221.41,2746.46,16.3,2136187,2137304,4171,4342,2136187,2136187,4169,8344,78742,8823
NPB-FT.C,nobalance,cpu0.weightedinterleave0_2,332.84,8878.48,-0.1,0,0,0,0,0,0,0,0,5354936,5259702
NPB-FT.C,nobalance_thp,cpu0.weightedinterleave0_2,340.49,8607.07,40.0,0,0,0,0,0,0,0,20497,121190,22734
NPB-FT.C,nobalance_thp_64K,cpu0.weightedinterleave0_2,341.53,8600.83,40.0,0,0,0,7,0,0,0,20497,113638,21867
NPB-FT.C,autonuma_tiering,cpu0.weightedinterleave0_2,221.63,14004.51,-0.1,5249121,5249122,0,5249124,5249121,5249121,0,0,10573712,5259698
NPB-FT.C,autonuma_tiering_thp,cpu0.weightedinterleave0_2,192.56,16180.88,40.0,5248345,5248354,10247,12137,5248353,5248353,10247,20497,93038,22723
NPB-FT.C,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,192.35,16205.53,40.0,5248371,5248378,10247,11321,5248375,5248375,10247,20497,86645,21860
NPB-LU.D,nobalance,cpu0.weightedinterleave0_2,505.53,13905.06,-0.1,0,0,0,0,0,0,0,0,7688212,7548745
NPB-LU.D,nobalance_thp,cpu0.weightedinterleave0_2,495.22,14099.74,57.5,0,0,0,0,0,0,0,29451,168953,31751
NPB-LU.D,nobalance_thp_64K,cpu0.weightedinterleave0_2,493.84,14147.1,57.5,0,0,0,4,0,0,0,29451,161370,30501
NPB-LU.D,autonuma_tiering,cpu0.weightedinterleave0_2,365.17,21229.93,-0.1,7532510,7532515,0,7532510,7532510,7532510,0,0,15183416,7548733
NPB-LU.D,autonuma_tiering_thp,cpu0.weightedinterleave0_2,315.52,23492.69,57.5,7540561,7540572,14724,16606,7540568,7540568,14724,29451,141785,31981
NPB-LU.D,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,321.62,23441.72,57.5,7540451,7540460,14724,15460,7540458,7540458,14724,29451,138202,30522
NPB-MG.D,nobalance,cpu0.weightedinterleave0_2,203.97,7046.25,-0.1,0,0,0,0,0,0,0,0,3535375,3475083
NPB-MG.D,nobalance_thp,cpu0.weightedinterleave0_2,204.8,6937.35,26.4,0,0,0,0,0,0,0,13544,76368,14592
NPB-MG.D,nobalance_thp_64K,cpu0.weightedinterleave0_2,204.47,6949.06,26.3,0,0,0,3,0,0,0,13544,71747,13964
NPB-MG.D,autonuma_tiering,cpu0.weightedinterleave0_2,115.82,13904.03,-0.1,3466581,3467966,0,3466591,3466581,3466581,0,0,6980932,3475076
NPB-MG.D,autonuma_tiering_thp,cpu0.weightedinterleave0_2,83.2,18916.39,26.4,3467373,3468478,6773,7414,3467379,3467379,6771,13544,50794,14595
NPB-MG.D,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,83.75,18803.96,26.3,3467377,3468475,6773,6892,3467383,3467383,6771,13544,49212,13968
NPB-SP.D,nobalance,cpu0.weightedinterleave0_2,428.53,6853.62,74.3,0,0,0,0,0,0,0,0,9989595,9767742
NPB-SP.D,nobalance_thp,cpu0.weightedinterleave0_2,441.88,6583.24,74.4,0,0,0,0,0,0,0,38106,162577,41009
NPB-SP.D,nobalance_thp_64K,cpu0.weightedinterleave0_2,441.93,6583.22,74.4,0,0,0,12,0,0,0,38106,153842,38804
NPB-SP.D,autonuma_tiering,cpu0.weightedinterleave0_2,275.11,12837.81,-0.1,9626549,10291557,0,10291130,9626549,9626549,0,0,19473245,9767717
NPB-SP.D,autonuma_tiering_thp,cpu0.weightedinterleave0_2,262.39,13612.86,74.4,9737946,10278686,20068,24429,9737946,9737946,19015,38106,141971,40991
NPB-SP.D,autonuma_tiering_thp_64K,cpu0.weightedinterleave0_2,235.17,15161.82,74.3,9755060,9946297,19421,20242,9755060,9755060,19048,38106,125566,38800
faster_uniform_ycsb_a,nobalance,cpu0.weightedinterleave0_2,318.92,999567.64,8.3,0,0,0,0,0,0,0,0,1185884,1090898
