workload,tiering,mem_policy,ldram_size,execution_time,throughput,rss,pgpromote_success,numa_pte_updates,numa_huge_pte_updates,numa_hint_faults,pgmigrate_success,pgmigrate_fail,numa_pages_migrated,thp_migration_success,thp_migration_success_2,thp_migration_success_3,thp_migration_success_4,thp_migration_success_5,thp_migration_success_6,thp_migration_success_7,thp_migration_success_8,thp_migration_success_9,thp_fault_alloc,thp_fault_alloc_2,thp_fault_alloc_3,thp_fault_alloc_4,thp_fault_alloc_5,thp_fault_alloc_6,thp_fault_alloc_7,thp_fault_alloc_8,thp_fault_alloc_9,thp_migration_split,thp_migration_split_2,thp_migration_split_3,thp_migration_split_4,thp_migration_split_5,thp_migration_split_6,thp_migration_split_7,thp_migration_split_8,thp_migration_split_9,thp_migration_fail,thp_migration_fail_2,thp_migration_fail_3,thp_migration_fail_4,thp_migration_fail_5,thp_migration_fail_6,thp_migration_fail_7,thp_migration_fail_8,thp_migration_fail_9,numa_local,numa_other
faster_uniform_ycsb_a,nobalance_thp_64K,cpu0.firsttouch0_2,4G,312.72,1268350.89,8.3,0,0,0,4,51136,3960,0,0,0,0,0,0,0,0,0,0,0,0,0,150069,0,0,0,0,0,0,0,0,3047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171672,513723
faster_uniform_ycsb_a,autonuma_tiering,cpu0.firsttouch0_2,4G,317.06,1182766.22,4.3,1470054,3389893,0,3346410,3550651,31578,1470066,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,3435180,2411417
faster_uniform_ycsb_a,autonuma_tiering_thp,cpu0.firsttouch0_2,4G,315.36,1443335.07,8.3,1065,3953875,7722,7818,357448,3853009,1119,686,0,0,1,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7505,0,0,0,0,0,0,0,0,780924,2648
faster_uniform_ycsb_a,autonuma_tiering_thp_512K,cpu0.firsttouch0_2,4G,313.12,1282216.87,8.3,28033,3388528,0,26426,209013,3130854,28033,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,17086,0,0,0,0,0,0,0,0,1370,0,0,0,0,0,0,0,0,0,0,0,117211,7737
faster_uniform_ycsb_a,autonuma_tiering_thp_64K,cpu0.firsttouch0_2,4G,312.85,1276583.64,8.3,2932,3984611,0,248409,2932,3862080,2932,0,0,0,183,0,0,0,0,0,0,0,0,150097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,631415,59329
faster_uniform_ycsb_f,nobalance,cpu0.firsttouch0_2,4G,316.99,1756661.04,4.3,0,0,0,4299,0,0,0,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,1355314,927609
faster_uniform_ycsb_f,nobalance_thp,cpu0.firsttouch0_2,4G,316.92,2150517.21,2.9,0,0,0,0,20228,10147,0,0,,,,,,,,,4241,,,,,,,,,0,,,,,,,,,0,,,,,,,,,124812,1744
faster_uniform_ycsb_f,nobalance_thp_512K,cpu0.firsttouch0_2,4G,313.46,1812069.52,8.3,0,0,0,66,75102,1730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17100,0,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0,0,0,0,0,772616,8566
faster_uniform_ycsb_f,nobalance_thp_64K,cpu0.firsttouch0_2,4G,312.94,1753422.06,8.3,0,0,0,12,50017,4110,0,0,0,0,31,0,0,0,0,0,0,0,0,136646,0,0,0,0,0,0,0,0,2982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163050,61370
faster_uniform_ycsb_f,autonuma_tiering,cpu0.firsttouch0_2,4G,317.33,1924732.64,-2.3,696454,3112573,0,3048432,1994562,10710,696450,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,0,,,,,,,,,2666134,1615108
faster_uniform_ycsb_f,autonuma_tiering_thp,cpu0.firsttouch0_2,4G,315.63,2120755.62,8.3,521,3950916,7716,7946,349860,3834642,663,672,0,0,0,0,0,0,0,0,4241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7471,0,0,0,0,0,0,0,0,115401,2378
faster_uniform_ycsb_f,autonuma_tiering_thp_512K,cpu0.firsttouch0_2,4G,313.28,1817817.17,8.3,25473,4042624,0,31511,191295,3897192,25473,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,17094,0,0,0,0,0,0,0,0,1279,0,0,0,0,0,0,0,0,0,0,0,773210,7588
faster_uniform_ycsb_f,autonuma_tiering_thp_64K,cpu0.firsttouch0_2,4G,313.07,1825096.79,8.3,3845,3975357,0,247848,3877,3836768,3877,0,0,0,241,0,0,0,0,0,0,0,0,136949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198174,59245
bc-urand,nobalance_thp_512K,cpu0.firsttouch0_2,4G,419.54,23.84,20.0,0,0,0,78,9796,1191,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2193921,3157094
bc-urand,nobalance_thp_64K,cpu0.firsttouch0_2,4G,429.86,23.26,20.0,0,0,0,3,850,132,0,0,0,0,13,0,0,0,0,0,0,0,0,415765,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538512,3905188
bc-urand,autonuma_tiering_thp,cpu0.firsttouch0_2,4G,349.31,28.63,20.0,34401,27896928,54486,54677,993743,27068550,34401,67,0,0,0,0,0,0,0,0,12540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52816,0,0,0,0,0,0,0,0,1741856,4321865
bc-urand,autonuma_tiering_thp_512K,cpu0.firsttouch0_2,4G,403.27,24.8,20.0,8448,26451840,0,206399,4028793,25210213,8448,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,50172,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,4264799,4369677
bc-urand,autonuma_tiering_thp_64K,cpu0.firsttouch0_2,4G,437.59,22.85,20.0,4,48685072,0,3034062,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,415789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256548,4191839
bc-web,nobalance_thp_512K,cpu0.firsttouch0_2,4G,343.55,29.11,16.3,0,0,0,10,328,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293573,2955375
bc-web,nobalance_thp_64K,cpu0.firsttouch0_2,4G,330.17,30.29,16.3,0,0,0,727,115162,8629,0,0,0,0,68,0,0,0,0,0,0,0,0,920318,0,0,0,0,0,0,0,0,6692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970477,3543364
bc-web,autonuma_tiering_thp,cpu0.firsttouch0_2,4G,267.3,37.41,16.3,234746,10890185,21268,24064,792634,9818679,234746,457,0,0,0,0,0,0,0,0,28066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19156,0,0,0,0,0,0,0,0,895141,3846198
bc-web,autonuma_tiering_thp_512K,cpu0.firsttouch0_2,4G,330.82,30.23,16.3,21258,9336493,0,76349,3458106,7754220,21268,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,113073,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,4375847,3930678
bc-web,autonuma_tiering_thp_64K,cpu0.firsttouch0_2,4G,359.3,27.83,16.3,4,30598549,0,1911482,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,920464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1324264,4147851
bfs-urand,nobalance_thp_512K,cpu0.firsttouch0_2,4G,180.31,55.46,17.6,0,0,0,89,68,4,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2136802,3292166
